name,country,linked_to,link,jurisdiction,year,active,yr_active,gender,term
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2014,1,10,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2013,1,9,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2012,1,8,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2011,1,7,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2010,1,6,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2009,1,5,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2008,1,4,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2007,1,3,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2006,1,2,male,ALZATE
"ALZATE SIERRA, CARLOS ALBERTO",,SPEED SOLUTION V.O.F.,partner of,AW,2005,1,1,male,ALZATE
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2016,1,12,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2015,1,11,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2014,1,10,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2013,1,9,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2012,1,8,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2011,1,7,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2010,1,6,female,CARDENAS
"CARDENAS MARTINEZ-QUIJADA, ELASTENIA JEANNETTE",,BREALYSS CONSTRUCTION & MAINTENANCE SERVICES,owner of,AW,2009,1,5,female,CARDENAS
